year,month,day,cases
2020,03,03,5
2020,03,04,3
2020,03,05,11
2020,03,06,5
2020,03,07,1
2020,03,08,11
2020,03,09,22
2020,03,10,33
2020,03,11,43
2020,03,12,47
2020,03,13,59
2020,03,14,29
2020,03,15,25
2020,03,16,61
2020,03,17,95
2020,03,18,144
2020,03,19,177
2020,03,20,167
2020,03,21,126
2020,03,22,70
2020,03,23,158
2020,03,24,199
2020,03,25,249
2020,03,26,281
2020,03,27,200
2020,03,28,186
2020,03,29,88
2020,03,30,167
2020,03,31,215
2020,04,01,187
2020,04,02,225
2020,04,03,238
2020,04,04,108
2020,04,05,77
2020,04,06,142
2020,04,07,196
2020,04,08,144
