year,month,day,cases
2020,1,9,1
2020,1,20,1
2020,1,28,1
2020,1,29,1
2020,1,31,1
2020,2,1,1
2020,2,10,7
2020,2,11,2
2020,2,15,1
2020,2,19,1
2020,2,20,2
2020,2,22,2
2020,2,23,2
2020,2,24,3
2020,2,25,2
2020,2,26,2
2020,2,27,5
2020,2,28,6
2020,2,29,1
2020,3,1,6
2020,3,2,7
2020,3,3,9
2020,3,4,8
2020,3,5,5
2020,3,6,10
2020,3,7,8
2020,3,8,20
2020,3,9,37
2020,3,10,59
2020,3,11,66
2020,3,12,81
2020,3,13,73
2020,3,14,88
2020,3,15,90
2020,3,16,100
2020,3,17,88
2020,3,18,85
2020,3,19,88
2020,3,20,82
2020,3,21,59
2020,3,22,45
2020,3,23,71
2020,3,24,55
2020,3,25,65
2020,3,26,67
2020,3,27,74
2020,3,28,58
2020,3,29,37
2020,3,30,55
2020,3,31,71
2020,4,1,70
2020,4,2,39
2020,4,3,37
2020,4,4,16
2020,4,5,18
2020,4,6,44
2020,4,7,34
2020,4,8,37
2020,4,9,31
2020,4,10,30
2020,4,11,19
2020,4,12,24
2020,4,13,10
2020,4,14,10
2020,4,15,25
2020,4,16,21
2020,4,17,22
2020,4,18,12
2020,4,19,11
2020,4,20,7
2020,4,21,4
2020,4,22,10
2020,4,23,15
2020,4,24,14
2020,4,25,6
2020,4,26,8
2020,4,27,9
2020,4,28,9
2020,4,29,10
2020,4,30,13
2020,5,1,15
2020,5,2,13
2020,5,3,5
2020,5,4,5
2020,5,5,5
2020,5,6,5
2020,5,7,12
2020,5,8,11
2020,5,9,2
2020,5,10,3
2020,5,11,6
2020,5,12,9
2020,5,13,6
2020,5,14,4
2020,5,15,10
2020,5,16,5
2020,5,17,4
2020,5,18,2
2020,5,19,6
2020,5,20,4
2020,5,21,2
2020,5,22,2
2020,5,23,8
2020,5,24,2
2020,5,25,5
2020,5,26,1
2020,5,27,5
2020,5,28,4
2020,5,29,3
2020,5,30,2
2020,5,31,4
2020,6,2,3
2020,6,3,3
2020,6,4,1
2020,6,5,12
2020,6,6,6
2020,6,7,3
2020,6,8,4
2020,6,9,5
